Mark Code,Network Code,Mark Name,Mark Type,Latitude,Longitude,Height,Datum,Vertical Offset,Dome Number,Plan Reference,Protection,Sky View,Established By,Start Time,End Time
RAWI,CG,Rawiri,Forced Centering,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Lead Plug,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Unmarked mark,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Iron Tube,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Bronze Pin,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Iron Spike,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Not Specified,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Stainless Steel Pin,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RCHD,CG,Richmond Range,Steel Pin,-41.47892,173.31181,1474,WGS84,0,,,,Excellent. The two biggest peaks are NE and SW and 2? above horizon,,2014-05-31T12:00:00Z,9999-01-01T00:17:44Z
RCHD,CG,Richmond Range,Bronze Pin,-41.47892,173.31181,1474,WGS84,0,,,,Excellent. The two biggest peaks are NE and SW and 2? above horizon,,2014-05-31T12:00:00Z,9999-01-01T00:17:44Z
RCHD,CG,Richmond Range,Not Specified,-41.47892,173.31181,1474,WGS84,0,,,,Excellent. The two biggest peaks are NE and SW and 2? above horizon,,2014-05-31T12:00:00Z,9999-01-01T00:17:44Z
RCHD,CG,Richmond Range,Iron Rod,-41.47892,173.31181,1474,WGS84,0,,,,Excellent. The two biggest peaks are NE and SW and 2? above horizon,,2014-05-31T12:00:00Z,9999-01-01T00:17:44Z
RCHD,CG,Richmond Range,Unmarked mark,-41.47892,173.31181,1474,WGS84,0,,,,Excellent. The two biggest peaks are NE and SW and 2? above horizon,,2014-05-31T12:00:00Z,9999-01-01T00:17:44Z
RCHD,CG,Richmond Range,Iron Spike,-41.47892,173.31181,1474,WGS84,0,,,,Excellent. The two biggest peaks are NE and SW and 2? above horizon,,2014-05-31T12:00:00Z,9999-01-01T00:17:44Z
